	reco_1	reco_2	reco_3	reco_4	reco_5	MSE_1	MSE_2	MSE_3	MSE_4	MSE_5	nb1	nb2	nb3	nb4	nb5	id	titre
132	132.0	1076.0	1588.0	6953.0	11124.0	0.0	28.75	41.0	0.0	0.0	29.0	4.0	4.0	0.0	0.0	132	Blake et Mortimer, tome 4 : Le Mystère de la Grande Pyramide, Première Partie 
133	1049.0	313.0	435.0	246.0	1148.0	13.60719998774963	23.5	52.75	16.89280001225037	16.85719998774963	4.0	14.0	11.0	9.0	5.0	133	Trolls de Troy, tome 1 : Histoires trolles
134	10241.0	2973.0	5340.0	9593.0	5650.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	134	Lucky Luke, tome 28 : Le Pony Express
135	621.0	102.0	105.0	110.0	112.0	11.25	27.75	71.0	29.75	41.25	1.0	4.0	9.0	6.0	4.0	135	Lucky Luke, tome 2 : Le Pied tendre
136	491.0	4854.0	1689.0	10511.0	3118.0	9.0	0.0	16.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	136	Blake et Mortimer, tome 5 : Le Mystère de la Grande Pyramide, Deuxième Partie
137	9163.0	7183.0	3520.0	3521.0	10398.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	2.0	137	Les mondes d'Aldébaran - Cycle 2 de Bételgeuse, tome 1 : La planète
138	83.0	90.0	118.0	202.0	264.0	39.0	17.94193227481319	9.0	17.75	22.75	3.0	3.0	1.0	3.0	1.0	138	Lucky Luke, tome 15 : L'Evasion des Dalton
139	8705.0	5962.0	2502.0	3663.0	2368.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	139	Zombillénium, tome 1 : Gretchen
140	6348.0	2565.0	8804.0	8301.0	7360.0	0.0	9.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	140	Lucky Luke, tome 16 : Le Magot des Dalton
141	126.0	357.0	2693.0	3546.0	8079.0	59.0	50.94327166419984	0.0	0.0	0.0	20.0	17.0	0.0	0.0	0.0	141	Les Passagers du vent, Tome 3 : Le comptoir de Juda
142	237.0	2376.0	1052.0	1933.0	7716.0	61.0	32.0	0.0	0.0	0.0	10.0	3.0	0.0	0.0	0.0	142	Blake et Mortimer, tome 7 : L'énigme de l'Atlantide
